
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.835	0.9175	0.575	0.6	0.056573	-0.0113785
0.9175	1	0.575	0.6	0.0684928	-0.0292952
0.67	0.7525	0.6	0.625	0.0220062	-0.0323588
0.7525	0.835	0.6	0.625	0.0612212	0.0103552
0.835	0.9175	0.6	0.625	0.0473498	-0.0100334
0.9175	1	0.6	0.625	0.00767545	0.026036
0.67	0.7525	0.625	0.65	0.0175027	0.0192737
0.7525	0.835	0.625	0.65	-0.00115048	-0.0160416
0.835	0.9175	0.625	0.65	0.0922477	0.0160867
0.9175	1	0.625	0.65	0.0168712	-0.0178362
0.67	0.7525	0.65	0.675	0.0263154	0.00277848
0.7525	0.835	0.65	0.675	-0.0182998	-0.0122211
0.835	0.9175	0.65	0.675	0.0725961	-0.0133102
0.9175	1	0.65	0.675	0.0460981	0.0305559
0.67	0.7525	0.675	0.7	-0.0187671	0.0184469
0.7525	0.835	0.675	0.7	0.021338	0.0128014
0.835	0.9175	0.675	0.7	0.0136262	-0.00999871
0.9175	1	0.675	0.7	0.023833	-0.00585532
0.67	0.7525	0.7	0.725	0.015932	-0.00326823
0.7525	0.835	0.7	0.725	-0.0162626	0.0151953
0.835	0.9175	0.7	0.725	0.0645028	-0.00806291
0.9175	1	0.7	0.725	0.0166691	-0.00177935
0.67	0.7525	0.725	0.75	0.0115298	-0.0370872
0.7525	0.835	0.725	0.75	0.0355277	-0.00253346
0.835	0.9175	0.725	0.75	0.0457071	0.0255602
0.9175	1	0.725	0.75	0.00598174	0.0108674
0.67	0.7525	0.75	0.775	0.0249963	0.0240064
0.7525	0.835	0.75	0.775	0.0189088	0.0282359
0.835	0.9175	0.75	0.775	0.0656607	-0.0275672
0.9175	1	0.75	0.775	0.0104672	0.022471
0.67	0.7525	0.775	0.8	-0.00188696	0.0586673
0.7525	0.835	0.775	0.8	0.00551172	0.104294
0.835	0.9175	0.775	0.8	0.0494132	0.0620736
0.9175	1	0.775	0.8	0.0450091	0.0552308
0.67	0.7525	0.8	0.825	-0.00455428	0.206895
0.7525	0.835	0.8	0.825	0.0555745	0.189587
0.835	0.9175	0.8	0.825	0.0645279	0.147071
0.9175	1	0.8	0.825	0.0220586	0.221813
0.67	0.7525	0.825	0.85	-0.0224372	0.344605
0.7525	0.835	0.825	0.85	0.0512695	0.390437
0.835	0.9175	0.825	0.85	0.0596688	0.331375
0.9175	1	0.825	0.85	0.00634025	0.3295
0.67	0.7525	0.85	0.875	0.0492816	0.473578
0.7525	0.835	0.85	0.875	0.0249085	0.552666
0.835	0.9175	0.85	0.875	-0.0532377	0.555816
0.9175	1	0.85	0.875	0.0295309	0.580441
0.67	0.7525	0.875	0.9	0.0645562	0.902353
0.7525	0.835	0.875	0.9	0.0819575	0.828831
0.835	0.9175	0.875	0.9	0.0165568	0.855349
0.9175	1	0.875	0.9	0.0340089	0.934148
0.67	0.7525	0.9	0.925	-0.00576169	1.27099
0.7525	0.835	0.9	0.925	0.0282959	1.22892
0.835	0.9175	0.9	0.925	-0.000616256	1.24623
0.9175	1	0.9	0.925	0.00917468	1.26427
0.67	0.7525	0.925	0.95	0.0310836	1.65409
0.7525	0.835	0.925	0.95	0.0441941	1.71075
0.835	0.9175	0.925	0.95	-0.0253001	1.72908
0.9175	1	0.925	0.95	-0.0786897	1.7379
0.67	0.7525	0.95	0.975	-0.146849	2.13945
0.7525	0.835	0.95	0.975	-0.0322112	2.22897
0.835	0.9175	0.95	0.975	-0.0235647	2.1077
0.9175	1	0.95	0.975	-0.0367106	2.21175
0.67	0.7525	0.975	1	-0.00532811	1.21156
0.7525	0.835	0.975	1	0.0647622	1.49976
0.835	0.9175	0.975	1	0.0536797	1.36738
0.9175	1	0.975	1	-0.016039	1.46808
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.67	0.7525	0	0.025	0.0149274	-0.29651
0.7525	0.835	0	0.025	0.099606	-0.268709
0.835	0.9175	0	0.025	-0.047792	-0.307982
0.9175	1	0	0.025	0.105896	-0.26969
0.67	0.7525	0.025	0.05	0.00179767	-0.722651
0.7525	0.835	0.025	0.05	0.201364	-0.608663
0.835	0.9175	0.025	0.05	0.0834473	-0.766565
0.9175	1	0.025	0.05	0.0325904	-0.71476
0.67	0.7525	0.05	0.075	0.0390478	-1.15397
0.7525	0.835	0.05	0.075	0.0534757	-1.25743
0.835	0.9175	0.05	0.075	0.163693	-1.12213
0.9175	1	0.05	0.075	0.135936	-1.12752
0.67	0.7525	0.075	0.1	-0.0288439	-1.32729
0.7525	0.835	0.075	0.1	0.0928009	-1.27429
0.835	0.9175	0.075	0.1	0.038432	-1.23801
0.9175	1	0.075	0.1	0.122262	-1.25869
0.67	0.7525	0.1	0.125	-0.0228776	-1.08318
0.7525	0.835	0.1	0.125	0.0169414	-1.07222
0.835	0.9175	0.1	0.125	0.0858234	-1.0627
0.9175	1	0.1	0.125	0.155106	-1.09507
0.67	0.7525	0.125	0.15	-0.017368	-0.851446
0.7525	0.835	0.125	0.15	0.074604	-0.855213
0.835	0.9175	0.125	0.15	0.0465704	-0.826697
0.9175	1	0.125	0.15	0.111876	-0.85924
0.67	0.7525	0.15	0.175	0.0236181	-0.689555
0.7525	0.835	0.15	0.175	0.0582274	-0.651261
0.835	0.9175	0.15	0.175	0.0432432	-0.695083
0.9175	1	0.15	0.175	0.0836786	-0.728154
0.67	0.7525	0.175	0.2	-0.018993	-0.52922
0.7525	0.835	0.175	0.2	0.0388558	-0.534489
0.835	0.9175	0.175	0.2	0.117384	-0.526333
0.9175	1	0.175	0.2	0.0978002	-0.576964
0.67	0.7525	0.2	0.225	-0.048314	-0.454911
0.7525	0.835	0.2	0.225	0.0781266	-0.415492
0.835	0.9175	0.2	0.225	0.0895296	-0.382077
0.9175	1	0.2	0.225	0.109694	-0.437702
0.67	0.7525	0.225	0.25	0.0683437	-0.306789
0.7525	0.835	0.225	0.25	0.0837746	-0.2974
0.835	0.9175	0.225	0.25	0.0842688	-0.297937
0.9175	1	0.225	0.25	0.105733	-0.25424
0.67	0.7525	0.25	0.275	0.060519	-0.220418
0.7525	0.835	0.25	0.275	0.101582	-0.176543
0.835	0.9175	0.25	0.275	0.144551	-0.150576
0.9175	1	0.25	0.275	0.134648	-0.183504
0.67	0.7525	0.275	0.3	-0.0278994	-0.0817136
0.7525	0.835	0.275	0.3	0.0606974	-0.13297
0.835	0.9175	0.275	0.3	0.0567607	-0.097743
0.9175	1	0.275	0.3	0.163742	-0.105404
0.67	0.7525	0.3	0.325	0.0538231	-0.0174734
0.7525	0.835	0.3	0.325	0.0361377	0.017182
0.835	0.9175	0.3	0.325	0.0604887	-0.0527424
0.9175	1	0.3	0.325	0.136914	-0.0560867
0.67	0.7525	0.325	0.35	0.0199862	-0.0327137
0.7525	0.835	0.325	0.35	0.059651	-0.0440591
0.835	0.9175	0.325	0.35	0.107027	-0.0484647
0.9175	1	0.325	0.35	0.107665	-0.00316928
0.67	0.7525	0.35	0.375	-0.0213446	-0.00106908
0.7525	0.835	0.35	0.375	0.0857388	-0.0257792
0.835	0.9175	0.35	0.375	0.155006	0.0112013
0.9175	1	0.35	0.375	0.151368	-0.0250913
0.67	0.7525	0.375	0.4	0.0968703	-0.0472744
0.7525	0.835	0.375	0.4	0.061053	-0.00904727
0.835	0.9175	0.375	0.4	0.00505796	-0.044196
0.9175	1	0.375	0.4	0.171472	-0.0281448
0.67	0.7525	0.4	0.425	0.0418844	0.0101723
0.7525	0.835	0.4	0.425	0.0638634	-0.00946506
0.835	0.9175	0.4	0.425	0.0612129	-0.0229368
0.9175	1	0.4	0.425	0.188852	0.0169295
0.67	0.7525	0.425	0.45	0.0499206	0.0186486
0.7525	0.835	0.425	0.45	0.0792516	-0.0463769
0.835	0.9175	0.425	0.45	0.0720245	-0.0314783
0.9175	1	0.425	0.45	0.148046	-0.0237149
0.67	0.7525	0.45	0.475	0.0389968	0.0112089
0.7525	0.835	0.45	0.475	-0.0101706	0.0390828
0.835	0.9175	0.45	0.475	0.0729282	-0.0425304
0.9175	1	0.45	0.475	0.159656	0.00968187
0.67	0.7525	0.475	0.5	0.00022866	0.00875994
0.7525	0.835	0.475	0.5	-0.0267861	0.0337453
0.835	0.9175	0.475	0.5	0.124132	0.0270886
0.9175	1	0.475	0.5	0.156359	0.00284667
0.67	0.7525	0.5	0.525	0.105169	0.0328902
0.7525	0.835	0.5	0.525	0.0802365	-0.00741181
0.835	0.9175	0.5	0.525	0.0661329	-0.0160971
0.9175	1	0.5	0.525	0.0990508	-0.0341135
0.67	0.7525	0.525	0.55	0.0647384	-0.0202111
0.7525	0.835	0.525	0.55	0.0537033	0.0221185
0.835	0.9175	0.525	0.55	0.115657	0.0197137
0.9175	1	0.525	0.55	0.148207	0.0106605
0.67	0.7525	0.55	0.575	0.0614546	-0.0118565
0.7525	0.835	0.55	0.575	0.0592107	-0.0239416
0.835	0.9175	0.55	0.575	0.0663118	-0.0128833
0.9175	1	0.55	0.575	0.139739	0.0264108
0.67	0.7525	0.575	0.6	0.009797	0.00223165
0.7525	0.835	0.575	0.6	0.122219	-0.0136094
0.835	0.9175	0.575	0.6	0.0737032	-0.0251741
0.9175	1	0.575	0.6	0.178865	-0.0123354
0.67	0.7525	0.6	0.625	0.0729364	-0.00470964
0.7525	0.835	0.6	0.625	0.0144453	0.0228455
0.835	0.9175	0.6	0.625	0.0669358	-0.0122929
0.9175	1	0.6	0.625	0.102286	0.0662713
0.67	0.7525	0.625	0.65	0.0162378	3.9872e-05
0.7525	0.835	0.625	0.65	0.0870526	-0.0132693
0.835	0.9175	0.625	0.65	0.126429	0.023258
0.9175	1	0.625	0.65	0.0897127	0.01014
0.67	0.7525	0.65	0.675	0.0670832	0.0639203
0.7525	0.835	0.65	0.675	0.0623697	0.0382228
0.835	0.9175	0.65	0.675	0.0569738	0.00590479
0.9175	1	0.65	0.675	0.168556	-0.0103328
0.67	0.7525	0.675	0.7	0.0570724	0.0709546
0.7525	0.835	0.675	0.7	0.074269	0.0686753
0.835	0.9175	0.675	0.7	0.0645489	0.0177504
0.9175	1	0.675	0.7	0.0801892	0.0933663
0.67	0.7525	0.7	0.725	0.0296055	0.107491
0.7525	0.835	0.7	0.725	0.0417693	0.109373
0.835	0.9175	0.7	0.725	0.0236186	0.0610405
0.9175	1	0.7	0.725	0.101363	0.140999
0.67	0.7525	0.725	0.75	-0.0246055	0.156885
0.7525	0.835	0.725	0.75	0.068208	0.179544
0.835	0.9175	0.725	0.75	0.0816493	0.211876
0.9175	1	0.725	0.75	0.147335	0.24847
0.67	0.7525	0.75	0.775	-0.0220689	0.294372
0.7525	0.835	0.75	0.775	0.00943302	0.281536
0.835	0.9175	0.75	0.775	0.0624343	0.296671
0.9175	1	0.75	0.775	0.132312	0.303485
0.67	0.7525	0.775	0.8	0.00866401	0.429187
0.7525	0.835	0.775	0.8	0.0672132	0.398554
0.835	0.9175	0.775	0.8	0.0628912	0.40811
0.9175	1	0.775	0.8	0.166892	0.419195
0.67	0.7525	0.8	0.825	-0.00234235	0.517359
0.7525	0.835	0.8	0.825	0.00878732	0.476299
0.835	0.9175	0.8	0.825	0.121329	0.538792
0.9175	1	0.8	0.825	0.164509	0.525374
0.67	0.7525	0.825	0.85	-0.0332694	0.694283
0.7525	0.835	0.825	0.85	0.0426156	0.654259
0.835	0.9175	0.825	0.85	0.00592767	0.660838
0.9175	1	0.825	0.85	0.17707	0.707481
0.67	0.7525	0.85	0.875	0.0362302	0.898802
0.7525	0.835	0.85	0.875	-0.00163287	0.838784
0.835	0.9175	0.85	0.875	0.0385767	0.888461
0.9175	1	0.85	0.875	0.08729	0.89088
0.67	0.7525	0.875	0.9	-0.0184607	1.09885
0.7525	0.835	0.875	0.9	0.0558453	1.07144
0.835	0.9175	0.875	0.9	0.0506437	0.971406
0.9175	1	0.875	0.9	0.0980582	1.07505
0.67	0.7525	0.9	0.925	0.0308895	1.26215
0.7525	0.835	0.9	0.925	0.0802869	1.34284
0.835	0.9175	0.9	0.925	0.0885047	1.26486
0.9175	1	0.9	0.925	0.112139	1.28835
0.67	0.7525	0.925	0.95	-0.0430169	1.20864
0.7525	0.835	0.925	0.95	0.0466831	1.15177
0.835	0.9175	0.925	0.95	0.0875515	1.14648
0.9175	1	0.925	0.95	0.164302	1.17868
0.67	0.7525	0.95	0.975	-0.0379584	0.712931
0.7525	0.835	0.95	0.975	-0.00199567	0.728025
0.835	0.9175	0.95	0.975	0.0203207	0.623986
0.9175	1	0.95	0.975	0.128102	0.697452
0.67	0.7525	0.975	1	0.0766422	0.308119
0.7525	0.835	0.975	1	0.00236589	0.221356
0.835	0.9175	0.975	1	0.0875816	0.30112
0.9175	1	0.975	1	0.101377	0.332597
